127.0.0.1 - - [28/Mar/2023:08:17:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:17:02 +0530] "GET /college_servlet_jsp_program/firstLogin.html HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:17:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:17:10 +0530] "POST /college_servlet_jsp_program/onenice HTTP/1.1" 500 1265
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:20:32 +0530] "GET /college_servlet_jsp_program/firstLogin.html HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:20:38 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 500 1295
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:21:51 +0530] "GET /college_servlet_jsp_program/firstLogin.html HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:21:58 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:22:07 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:23:58 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:24:07 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:24:31 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:24:38 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:24:52 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:25:57 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:26:13 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:27:28 +0530] "GET /college_servlet_jsp_program/login HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:35:13 +0530] "GET /college_servlet_jsp_program/firstLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:35:27 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:35:33 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:41:37 +0530] "GET /college_servlet_jsp_program/firstLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:41:43 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:41:52 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:42:20 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:43:46 +0530] "GET /college_servlet_jsp_program/firstLogin.html HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:43:53 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:44:02 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:44:19 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:44:32 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:45:24 +0530] "GET /college_servlet_jsp_program/firstLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:45:30 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:45:39 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:48:18 +0530] "GET /application/Register HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:48:34 +0530] "GET /application/index.html HTTP/1.1" 200 1863
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:48:35 +0530] "GET /application/index.css HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:49:58 +0530] "POST /application/Register HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:57:27 +0530] "GET /college_servlet_jsp_program/simple_login_databse.html HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [28/Mar/2023:08:57:38 +0530] "POST /college_servlet_jsp_program/simple_login_db HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:03:13 +0530] "GET /college_servlet_jsp_program/simple_login_databse.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:03:20 +0530] "POST /college_servlet_jsp_program/simple_login_db HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:03:26 +0530] "POST /college_servlet_jsp_program/simple_login_db HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:06:25 +0530] "GET /college_servlet_jsp_program/simple_login_databse.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:06:32 +0530] "POST /college_servlet_jsp_program/simple_login_db HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:06:54 +0530] "POST /college_servlet_jsp_program/simple_login_db HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:07:05 +0530] "POST /college_servlet_jsp_program/simple_login_db HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:09:47 +0530] "GET /college_servlet_jsp_program/simple_login_databse.html HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:09:56 +0530] "POST /college_servlet_jsp_program/simple_login_db HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:14:05 +0530] "GET /college_servlet_jsp_program/login HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:14:10 +0530] "GET /application/Register HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:38:36 +0530] "GET /college_servlet_jsp_program/firstLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:38:37 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:38:48 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:39:02 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:39:19 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:40:19 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:40:27 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:41:20 +0530] "GET /college_servlet_jsp_program/login HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:42:56 +0530] "GET /college_servlet_jsp_program/login HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:43:21 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [28/Mar/2023:09:44:31 +0530] "GET /college_servlet_jsp_program/login HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [28/Mar/2023:11:34:52 +0530] "GET /college_servlet_jsp_program/login HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [28/Mar/2023:11:36:39 +0530] "GET /college_servlet_jsp_program/firstLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2023:11:36:46 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [28/Mar/2023:11:37:06 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [28/Mar/2023:11:37:26 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [28/Mar/2023:11:37:37 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [28/Mar/2023:11:38:55 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [28/Mar/2023:11:39:08 +0530] "GET /college_servlet_jsp_program/it?user=ritik&pass=admin123&submit=LOGIN HTTP/1.1" 404 785
