127.0.0.1 - - [06/Mar/2023:15:34:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:34:56 +0530] "GET /college_servlet_jsp_program/firstLogin.html HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:34:56 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:35:11 +0530] "GET /college_servlet_jsp_program/login?user=ritik&pass=admin123&submit=LOGIN HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:35:17 +0530] "GET /college_servlet_jsp_program/login?user=ritik&pass=admin123&submit=LOGIN HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:36:47 +0530] "GET /college_servlet_jsp_program/login HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:37:28 +0530] "GET /college_servlet_jsp_program/firstLogin.html HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:37:37 +0530] "GET /college_servlet_jsp_program/login?user=ritik&pass=admin123&submit=LOGIN HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:38:28 +0530] "GET /college_servlet_jsp_program/firstLogin.html HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:38:37 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 405 752
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:45:17 +0530] "GET /college_servlet_jsp_program/firstLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:45:31 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 500 1285
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:54:22 +0530] "GET /college_servlet_jsp_program/firstLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:54:31 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:55:19 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:55:21 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:56:06 +0530] "GET /college_servlet_jsp_program/firstLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:15:56:15 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 500 1285
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:47:14 +0530] "GET /college_servlet_jsp_program/firstLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:47:15 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:47:23 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 500 1285
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:48:46 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:48:52 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:50:23 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:50:29 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:51:58 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:52:08 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:52:12 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:52:39 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:52:40 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:59:09 +0530] "GET /college_servlet_jsp_program/firstLogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:59:16 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:16:59:21 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Mar/2023:17:00:07 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [06/Mar/2023:17:00:18 +0530] "POST /college_servlet_jsp_program/login HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [06/Mar/2023:17:01:43 +0530] "GET /college_servlet_jsp_program/index.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [06/Mar/2023:17:01:43 +0530] "GET /college_servlet_jsp_program/style.css HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [06/Mar/2023:17:01:46 +0530] "POST /college_servlet_jsp_program/response.jsp HTTP/1.1" 200 488
